used_keys,combination
"('journal', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'journal'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'title'"", '']]"
"('author', 'doi', 'number', 'pages')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'pages'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'""]]"
"('author', 'number')",[]
"('author', 'number', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'title'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'number'"", ""'year'""], [""'title'"", '']]"
"('doi', 'journal', 'pages', 'year')","[[""'doi'"", ''], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""]]"
"('number', 'title')","[[""'number'"", ""'title'""], [""'title'"", '']]"
"('author', 'journal', 'pages')","[[""'author'"", ""'journal'"", ""'pages'""], [""'journal'"", ""'pages'""], [""'author'"", ""'pages'""]]"
"('author', 'journal', 'pages', 'year')","[[""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'author'"", ""'pages'""]]"
"('author', 'journal')",[]
"('number', 'pages', 'year')","[[""'number'"", ""'pages'"", ""'year'""]]"
"('doi', 'journal', 'number', 'year')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""]]"
